metric_id,rank,sido,sigungu,population,total_park_area_m2,park_count,raw_value,pre_outlier_cleaned_value,score_100
urban_park,137,강원특별자치도,강릉시,207731.0,1188814.8,86,5.722856964054475,5.722856964054475,8.62405086633157
urban_park,88,강원특별자치도,고성군,26999.0,269292.0,29,9.97414719063669,9.97414719063669,15.269954636605057
urban_park,27,강원특별자치도,동해시,87675.0,1915518.2,61,21.847940690048475,21.847940690048475,33.83186990923753
urban_park,116,강원특별자치도,삼척시,61735.0,442007.0,24,7.159747307038147,7.159747307038147,10.870294815567172
urban_park,111,강원특별자치도,속초시,80933.0,611354.0,32,7.553828475405583,7.553828475405583,11.486349091577507
urban_park,36,강원특별자치도,양구군,20621.0,393796.0,11,19.096843024101645,19.096843024101645,29.53116838663048
urban_park,156,강원특별자치도,양양군,27489.0,127727.0,8,4.646476772527192,4.646476772527192,6.941380714011748
urban_park,34,강원특별자치도,영월군,36721.0,714778.0,20,19.465101712916315,19.465101712916315,30.1068552200361
urban_park,71,강원특별자치도,원주시,362164.0,4626931.0,165,12.775789421367115,12.775789421367115,19.649670833760027
urban_park,140,강원특별자치도,인제군,31535.0,177047.0,17,5.614301569684478,5.614301569684478,8.454349748253097
urban_park,66,강원특별자치도,정선군,33515.0,440018.0,36,13.128987020736984,13.128987020736984,20.201813155784194
urban_park,106,강원특별자치도,철원군,40497.0,312261.0,22,7.71071931254167,7.71071931254167,11.731611435588855
urban_park,57,강원특별자치도,춘천시,286069.0,4405537.0,143,15.400260077114263,15.400260077114263,23.752420468904184
urban_park,2,강원특별자치도,태백시,37936.0,2722852.0,21,71.77488401518346,64.17475348928093,100.0
urban_park,23,강원특별자치도,평창군,40396.0,932174.0,24,23.07589860382216,23.07589860382216,35.75149658583039
urban_park,138,강원특별자치도,홍천군,66717.0,380934.0,27,5.709699177121274,5.709699177121274,8.603481725876035
urban_park,41,강원특별자치도,화천군,22922.0,395738.0,12,17.26454934124422,17.26454934124422,26.66680325366231
urban_park,155,강원특별자치도,횡성군,46111.0,218522.0,31,4.739042744681313,4.739042744681313,7.086086088274722
urban_park,97,경기도,가평군,62527.0,542295.7,18,8.672984470708654,8.672984470708654,13.235889266981719
urban_park,129,경기도,고양시,1070120.0,6750211.3,281,6.307901263409711,6.307901263409711,9.538631595388926
urban_park,174,경기도,과천시,85512.0,314666.0,19,3.679787632145196,3.679787632145196,5.4301870150785945
urban_park,105,경기도,광명시,278167.0,2145414.0,84,7.712683388036683,7.712683388036683,11.734681810943561
urban_park,201,경기도,광주시,397605.0,848785.1,66,2.134744532890683,2.134744532890683,3.014871378812183
urban_park,150,경기도,구리시,186882.0,912756.3,61,4.884131698076861,4.884131698076861,7.312898931201163
urban_park,136,경기도,군포시,255931.0,1480285.2,123,5.783923010498923,5.783923010498923,8.719513431028576
urban_park,79,경기도,김포시,486853.0,5456931.0,189,11.208580413389669,11.208580413389669,17.19970395316497
urban_park,127,경기도,남양주시,732482.0,4774379.0,172,6.518083720828635,6.518083720828635,9.867202996483027
urban_park,6,경기도,동두천시,86838.0,3649712.0,40,42.028973490868054,42.028973490868054,65.38022225186393
urban_park,172,경기도,부천시,769918.0,2951171.0,195,3.833097810416174,3.833097810416174,5.669851831519865
urban_park,73,경기도,성남시,913009.0,11429779.3,216,12.51880244334941,12.51880244334941,19.247931447575585
urban_park,131,경기도,수원시,1193005.0,7111239.8,335,5.960779544092438,5.960779544092438,8.995987499079106
urban_park,84,경기도,시흥시,518132.0,5425745.0,200,10.471742721931863,10.471742721931863,16.04782955016146
urban_park,83,경기도,안산시,620579.0,6526791.22,235,10.517260848336795,10.517260848336795,16.118986557038763
urban_park,182,경기도,안성시,193949.0,613750.0,75,3.164491696270669,3.164491696270669,4.624641634614578
urban_park,99,경기도,안양시,556492.0,4803709.6,138,8.632126966784787,8.632126966784787,13.172018059677699
urban_park,118,경기도,양주시,289005.0,2040885.0,100,7.061763637307313,7.061763637307313,10.71712013085201
urban_park,158,경기도,양평군,126804.0,582029.9,34,4.589996372354185,4.589996372354185,6.8530867410175516
urban_park,183,경기도,여주시,114610.0,360286.9,24,3.143590437134631,3.143590437134631,4.591967375861999
urban_park,62,경기도,연천군,40866.0,605680.0,17,14.82112269368179,14.82112269368179,22.847073829431285
urban_park,92,경기도,오산시,242065.0,2271088.0,118,9.382141160432115,9.382141160432115,14.344490860088378
urban_park,119,경기도,용인시,1085864.0,7569618.1,340,6.971055399202847,6.971055399202847,10.575318891820162
urban_park,96,경기도,의왕시,154488.0,1367213.7,62,8.849966987727202,8.849966987727202,13.512560280823946
urban_park,151,경기도,의정부시,461271.0,2249788.5,107,4.877368184863128,4.877368184863128,7.302325750926059
urban_park,87,경기도,이천시,222443.0,2282742.2,44,10.262144459479508,10.262144459479508,15.72017140206209
urban_park,103,경기도,파주시,511340.0,4139788.6999999997,173,8.09596100441976,8.09596100441976,12.333847245440266
urban_park,42,경기도,평택시,598556.0,10275298.0,543,17.16681145957939,17.16681145957939,26.514012801438337
urban_park,65,경기도,포천시,141463.0,1857396.9000000001,48,13.129913122159152,13.129913122159152,20.203260900023054
urban_park,123,경기도,하남시,329120.0,2258425.0,81,6.862010816723384,6.862010816723384,10.40485304187729
urban_park,108,경기도,화성시,968821.0,7364051.6,598,7.60104456860452,7.60104456860452,11.560160474730399
urban_park,152,경상남도,거제시,232972.0,1132282.0,63,4.86016345311883,4.86016345311883,7.2754301532434935
urban_park,206,경상남도,거창군,59588.0,96595.0,14,1.6210478619856348,1.6210478619856348,2.211826077271
urban_park,25,경상남도,고성군,48005.0,1064946.0,12,22.184064159983336,22.184064159983336,34.357320799922405
urban_park,166,경상남도,김해시,531676.0,2202396.1,245,4.142365087007877,4.142365087007877,6.153319308445193
urban_park,76,경상남도,남해군,39832.0,464330.0,3,11.657210283189395,11.657210283189395,17.90103244034198
urban_park,130,경상남도,밀양시,100691.0,607124.4,28,6.029579604929935,6.029579604929935,9.103540396986656
urban_park,145,경상남도,사천시,108504.0,586802.0,12,5.40811398658114,5.40811398658114,8.13202340427359
urban_park,54,경상남도,산청군,33259.0,515698.0,14,15.505517303586998,15.505517303586998,23.91696566835674
urban_park,117,경상남도,양산시,359531.0,2545766.0,157,7.080796927107816,7.080796927107816,10.746874253883869
urban_park,4,경상남도,의령군,25150.0,1557682.5,32,61.93568588469185,61.93568588469185,96.49973842242265
urban_park,24,경상남도,진주시,338785.0,7569633.0,177,22.34347152323745,22.34347152323745,34.60651714738315
urban_park,10,경상남도,창녕군,56085.0,1890550.0,10,33.70865650352144,33.70865650352144,52.3733412606943
urban_park,37,경상남도,창원시,999858.0,18284543.8,469,18.287140573961505,18.287140573961505,28.265386875752025
urban_park,13,경상남도,통영시,118481.0,3445461.9000000004,32,29.0802905107148,29.0802905107148,45.13796720660905
urban_park,77,경상남도,하동군,40765.0,471890.0,4,11.57586164601987,11.57586164601987,17.773862761101753
urban_park,60,경상남도,함안군,58842.0,890095.0,29,15.126865164338398,15.126865164338398,23.325031091855834
urban_park,43,경상남도,함양군,36131.0,611776.0,5,16.932163516094214,16.932163516094214,26.147195301531077
urban_park,170,경상남도,합천군,40225.0,158480.0,1,3.939838408949658,3.939838408949658,5.836715938279576
urban_park,93,경상북도,경산시,266398.0,2444741.7,128,9.17702722993416,9.17702722993416,14.023842922314467
urban_park,141,경상북도,경주시,244769.0,1366349.0,58,5.58219790904894,5.58219790904894,8.404163139509418
urban_park,124,경상북도,고령군,30062.0,203836.0,7,6.780520258133191,6.780520258133191,10.277461501495056
urban_park,74,경상북도,구미시,404820.0,5021888.0,175,12.405236895410306,12.405236895410306,19.07039811933974
urban_park,107,경상북도,김천시,135446.0,1037737.0,28,7.661628988674453,7.661628988674453,11.654870128577366
urban_park,188,경상북도,문경시,67257.0,197749.0,29,2.9401995331340975,2.9401995331340975,4.274012989383149
urban_park,171,경상북도,봉화군,28836.0,111284.9,6,3.859234984047718,3.859234984047718,5.7107112251448955
urban_park,110,경상북도,상주시,91850.0,696552.0,35,7.583581927054981,7.583581927054981,11.532861695035859
urban_park,104,경상북도,성주군,41452.0,328756.0,18,7.931004535366207,7.931004535366207,12.075976161325796
urban_park,56,경상북도,안동시,153159.0,2360682.7,70,15.41328096945005,15.41328096945005,23.77277560648704
urban_park,7,경상북도,영덕군,33210.0,1263436.0,26,38.04384221619994,38.04384221619994,59.150396116318305
urban_park,12,경상북도,영양군,15328.0,464639.0,5,30.313087160751564,30.313087160751564,47.06515812225881
urban_park,48,경상북도,영주시,98870.0,1607266.0,71,16.256356832203902,16.256356832203902,25.090728688087605
urban_park,142,경상북도,영천시,98143.0,543271.0,24,5.535504315132001,5.535504315132001,8.331168562493753
urban_park,47,경상북도,예천군,54609.0,893991.0,46,16.370763061033895,16.370763061033895,25.269576225423414
urban_park,149,경상북도,울릉군,9099.0,45448.0,9,4.994834597208484,4.994834597208484,7.485957173642197
urban_park,132,경상북도,울진군,46124.0,274494.0,17,5.9512184546006415,5.9512184546006415,8.981040958778436
urban_park,50,경상북도,의성군,48690.0,776110.0,2,15.93982337235572,15.93982337235572,24.595902223154877
urban_park,161,경상북도,청도군,40582.0,183445.0,8,4.520353851461239,4.520353851461239,6.744216852699935
urban_park,216,경상북도,청송군,23716.0,15800.0,1,0.6662168999831337,0.6662168999831337,0.7191698830012759
urban_park,45,경상북도,칠곡군,107383.0,1786560.0,82,16.637270331430486,16.637270331430486,25.686198375108525
urban_park,169,경상북도,포항시,491581.0,1953031.9,168,3.9729605090514073,3.9729605090514073,5.888494640323769
urban_park,86,광주광역시,광산구,391611.0,4032434.32,220,10.297040481498222,10.297040481498222,15.774723218555732
urban_park,173,광주광역시,남구,207597.0,779908.8,51,3.7568404167690286,3.7568404167690286,5.55064112772413
urban_park,193,광주광역시,동구,106203.0,268947.8,44,2.532393623532292,2.532393623532292,3.6365032716941457
urban_park,109,광주광역시,북구,423961.0,3218254.4,123,7.590920863003908,7.590920863003908,11.544334414961636
urban_park,163,광주광역시,서구,279050.0,1212137.8,86,4.3438014692707405,4.3438014692707405,6.4682182546475255
urban_park,222,대구광역시,군위군,22463.0,5652.0,3,0.2516137648577661,0.2516137648577661,0.0710342836794491
urban_park,219,대구광역시,남구,136263.0,57609.9,21,0.42278461504590387,0.42278461504590387,0.338620107746044
urban_park,153,대구광역시,달서구,522021.0,2497473.5,181,4.7842395229310695,4.7842395229310695,7.156740742030449
urban_park,113,대구광역시,달성군,257580.0,1912899.3,94,7.4264279058933145,7.4264279058933145,11.287187923995386
urban_park,114,대구광역시,동구,342339.0,2520731.5,112,7.363261270261349,7.363261270261349,11.188441576527252
urban_park,186,대구광역시,북구,413010.0,1262763.6,95,3.0574649524224595,3.0574649524224595,4.457330206189061
urban_park,191,대구광역시,서구,163135.0,440604.5,30,2.700858184938854,2.700858184938854,3.899858442510002
urban_park,178,대구광역시,수성구,409107.0,1372694.8,90,3.3553442009058756,3.3553442009058756,4.922995149081871
urban_park,195,대구광역시,중구,97711.0,242006.0,17,2.47675287326913,2.47675287326913,3.5495218961007704
urban_park,128,대전광역시,대덕구,168217.0,1084547.6,88,6.447312697289811,6.447312697289811,9.75656895667509
urban_park,192,대전광역시,동구,218513.0,567968.6,53,2.5992439809073145,2.5992439809073145,3.7410082615781146
urban_park,52,대전광역시,서구,457951.0,7222905.100000001,112,15.772222574030847,15.772222574030847,24.333897345077286
urban_park,125,대전광역시,유성구,369468.0,2493960.5,161,6.750139389608843,6.750139389608843,10.229968077638064
urban_park,207,대전광역시,중구,225008.0,361326.9,51,1.605840236791581,1.605840236791581,2.188052491317702
urban_park,101,부산광역시,강서구,142789.0,1216822.3,86,8.521821008621112,8.521821008621112,12.999580342144364
urban_park,81,부산광역시,금정구,209932.0,2335997.5,37,11.127400777394586,11.127400777394586,17.07279846796527
urban_park,5,부산광역시,기장군,175626.0,8777941.2,95,49.98087526903761,49.98087526903761,77.81117172643505
urban_park,122,부산광역시,남구,254498.0,1748782.0,48,6.871496043190909,6.871496043190909,10.419680987978987
urban_park,78,부산광역시,동구,85911.0,971954.0,6,11.313498853464631,11.313498853464631,17.363719538858348
urban_park,112,부산광역시,동래구,274370.0,2058637.7,50,7.5031442942012605,7.5031442942012605,11.407116159219033
urban_park,69,부산광역시,부산진구,359281.0,4653576.8,28,12.952471185506608,12.952471185506608,19.925871690406137
urban_park,194,부산광역시,북구,267692.0,665584.9,81,2.4863832314749787,2.4863832314749787,3.5645767219296784
urban_park,176,부산광역시,사상구,198635.0,703095.0,33,3.5396329951921865,3.5396329951921865,5.211087828595589
urban_park,205,부산광역시,사하구,292491.0,533029.6,61,1.8223794920185579,1.8223794920185579,2.526561267718538
urban_park,17,부산광역시,서구,103188.0,2752839.1999999997,7,26.6779005310695,26.6779005310695,41.38238907092676
urban_park,214,부산광역시,수영구,171918.0,131392.0,23,0.7642713386614549,0.7642713386614549,0.8724551985108221
urban_park,220,부산광역시,연제구,212589.0,88795.1,28,0.41768435808061566,0.41768435808061566,0.33064704187934996
urban_park,202,부산광역시,영도구,103737.0,193398.0,16,1.8643107088117066,1.8643107088117066,2.5921109754367464
urban_park,89,부산광역시,중구,37537.0,364875.80000000005,7,9.720430508564885,9.720430508564885,14.87332759773129
urban_park,165,부산광역시,해운대구,376404.0,1600586.4000000001,60,4.252309752287436,4.252309752287436,6.325192228561096
urban_park,177,서울특별시,강남구,557345.0,1895446.5,146,3.400849563555787,3.400849563555787,4.994132202795995
urban_park,167,서울특별시,강동구,476942.0,1934992.9,74,4.057082202867434,4.057082202867434,6.019999348846851
urban_park,135,서울특별시,강북구,283597.0,1663915.1,54,5.867181599241177,5.867181599241177,8.84966887545577
urban_park,134,서울특별시,강서구,556171.0,3275303.1,151,5.88902172173666,5.88902172173666,8.883810828768766
urban_park,210,서울특별시,관악구,477812.0,442280.0,75,0.9256360242103588,0.9256360242103588,1.1247113642679676
urban_park,224,서울특별시,광진구,331963.0,48530.2,43,0.14619159364146003,0.20617414273903004,0.0
urban_park,179,서울특별시,구로구,388169.0,1285616.99,62,3.312003251161221,3.312003251161221,4.855241651681435
urban_park,217,서울특별시,금천구,225159.0,146089.3,52,0.6488272731714033,0.6488272731714033,0.6919852448721027
