metric_id,sido,sigungu,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,PM10_연평균,PM10_봄,PM10_여름,PM10_가을,PM10_겨울,pre_outlier_cleaned_value,score_100
pm10,경기도,여주,40.0,34.0,55.0,58.0,37.0,42.0,25.0,25.0,21.0,26.0,34.0,38.0,36.25,50.0,30.67,27.0,37.33,36.25,12.1
pm10,경기도,연천,35.0,29.0,43.0,43.0,24.0,26.0,17.0,21.0,15.0,22.0,29.0,33.0,28.08,36.67,21.33,22.0,32.33,28.08,52.95
pm10,경기도,가평,36.0,28.0,49.0,47.0,26.0,28.0,20.0,22.0,16.0,19.0,28.0,32.0,29.25,40.67,23.33,21.0,32.0,29.25,47.1
pm10,경기도,양평,38.0,30.0,50.0,52.0,29.0,31.0,19.0,20.0,15.0,18.0,26.0,35.0,30.25,43.67,23.33,19.67,34.33,30.25,42.1
pm10,경기도,도평균,38.0,34.0,52.0,53.0,31.0,32.0,21.0,25.0,18.0,25.0,30.0,35.0,32.83,45.33,26.0,24.33,35.67,32.83,29.2
pm10,강원특별자치도,양구,22.0,16.0,30.0,33.0,17.0,20.0,14.0,13.0,10.0,12.0,16.0,21.0,18.67,26.67,15.67,12.67,19.67,18.67,100.0
pm10,강원특별자치도,고성,23.0,22.0,36.0,56.0,25.0,23.0,16.0,15.0,16.0,16.0,20.0,19.0,23.92,39.0,18.0,17.33,21.33,23.92,73.75
pm10,강원특별자치도,정선,29.0,21.0,46.0,51.0,23.0,24.0,14.0,14.0,11.0,16.0,21.0,29.0,24.92,40.0,17.33,16.0,26.33,24.92,68.75
pm10,강원특별자치도,횡성,36.0,25.0,46.0,46.0,25.0,24.0,13.0,14.0,10.0,15.0,22.0,32.0,25.67,39.0,17.0,15.67,31.0,25.67,65.0
pm10,강원특별자치도,강릉,24.0,23.0,43.0,62.0,29.0,27.0,16.0,16.0,15.0,19.0,23.0,23.0,26.67,44.67,19.67,19.0,23.33,26.67,60.0
pm10,강원특별자치도,원주,36.0,27.0,48.0,51.0,30.0,33.0,26.0,32.0,24.0,25.0,30.0,38.0,33.33,43.0,30.33,26.33,33.67,33.33,26.7
pm10,강원특별자치도,동해,20.0,21.0,35.0,56.0,24.0,24.0,17.0,17.0,17.0,18.0,17.0,16.0,23.5,38.33,19.33,17.33,19.0,23.5,75.85
pm10,강원특별자치도,삼척,20.0,21.0,35.0,55.0,22.0,22.0,16.0,15.0,13.0,13.0,15.0,16.0,21.92,37.33,17.67,13.67,19.0,21.92,83.75
pm10,강원특별자치도,평창,35.0,27.0,47.0,45.0,24.0,23.0,14.0,14.0,11.0,14.0,21.0,28.0,25.25,38.67,17.0,15.33,30.0,25.25,67.1
