metric_id,region,여름_평균최고기온,겨울_평균최저기온,여름_편차,겨울_편차,편차_합산,pre_outlier_cleaned_value,score_100
thermal_comfort,강릉,29.18,4.271428571428571,0.8200000000000003,9.271428571428572,10.091428571428573,10.091428571428573,52.34
thermal_comfort,강진군,29.459999999999997,3.085714285714286,0.5400000000000027,8.085714285714285,8.625714285714288,8.625714285714288,62.81
thermal_comfort,강화,26.339999999999996,0.014285714285714488,3.6600000000000037,5.014285714285714,8.674285714285718,8.674285714285718,62.47
thermal_comfort,거제,27.619999999999997,4.957142857142857,2.3800000000000026,9.957142857142857,12.33714285714286,12.33714285714286,36.29
thermal_comfort,거창,29.119999999999997,-0.39999999999999986,0.8800000000000026,4.6000000000000005,5.480000000000003,5.480000000000003,85.3
thermal_comfort,경주시,30.1,1.8857142857142857,0.10000000000000142,6.885714285714286,6.9857142857142875,6.9857142857142875,74.54
thermal_comfort,고산,26.6,9.014285714285714,3.3999999999999986,14.014285714285714,17.41428571428571,17.41428571428571,0.0
thermal_comfort,고창,28.7,1.8285714285714287,1.3000000000000007,6.828571428571429,8.12857142857143,8.12857142857143,66.37
thermal_comfort,고창군,29.119999999999997,2.1714285714285717,0.8800000000000026,7.171428571428572,8.051428571428573,8.051428571428573,66.92
thermal_comfort,고흥,29.439999999999998,2.257142857142857,0.5600000000000023,7.257142857142857,7.817142857142859,7.817142857142859,68.59
thermal_comfort,광양시,29.04,4.5,0.9600000000000009,9.5,10.46,10.46,49.7
thermal_comfort,광주,29.240000000000002,4.2,0.759999999999998,9.2,9.959999999999997,9.959999999999997,53.28
thermal_comfort,구미,30.619999999999997,1.6428571428571428,0.6199999999999974,6.642857142857142,7.26285714285714,7.26285714285714,72.55
thermal_comfort,군산,27.96,2.4285714285714284,2.039999999999999,7.428571428571429,9.468571428571428,9.468571428571428,56.79
thermal_comfort,금산,29.1,0.5142857142857143,0.8999999999999986,5.514285714285714,6.414285714285713,6.414285714285713,78.62
thermal_comfort,김해시,29.360000000000003,4.128571428571428,0.639999999999997,9.128571428571428,9.768571428571425,9.768571428571425,54.65
thermal_comfort,남원,29.2,1.1142857142857145,0.8000000000000007,6.114285714285715,6.9142857142857155,6.9142857142857155,75.05
thermal_comfort,남해,28.28,4.757142857142857,1.7199999999999989,9.757142857142856,11.477142857142855,11.477142857142855,42.43
thermal_comfort,대관령,24.06,-4.242857142857143,5.940000000000001,0.7571428571428571,6.697142857142858,6.697142857142858,76.6
thermal_comfort,대구,30.060000000000002,3.185714285714286,0.060000000000002274,8.185714285714287,8.245714285714289,8.245714285714289,65.53
thermal_comfort,대전,29.32,2.3142857142857145,0.6799999999999997,7.314285714285715,7.994285714285715,7.994285714285715,67.33
