metric_id,rank,sido,sigungu,population,wifi_count,raw_value,pre_outlier_cleaned_value,score_100
public_wifi,30,강원특별자치도,강릉시,207731.0,1063,51.17194833703203,51.17194833703203,34.830669280417375
public_wifi,44,강원특별자치도,고성군,26999.0,103,38.149561094855365,38.149561094855365,25.778953338634942
public_wifi,141,강원특별자치도,동해시,87675.0,107,12.204163102366694,12.204163102366694,7.744596944757267
public_wifi,121,강원특별자치도,삼척시,61735.0,106,17.170162792581195,17.170162792581195,11.196407870577026
public_wifi,147,강원특별자치도,속초시,80933.0,86,10.626073418753784,10.626073418753784,6.647684429327125
public_wifi,18,강원특별자치도,양구군,20621.0,137,66.43712720042676,66.43712720042676,45.44132463126029
public_wifi,13,강원특별자치도,양양군,27489.0,211,76.75797591763978,76.75797591763978,52.61523131434145
public_wifi,43,강원특별자치도,영월군,36721.0,141,38.397647122899706,38.397647122899706,25.951395166175544
public_wifi,75,강원특별자치도,원주시,362164.0,1000,27.611800178924465,27.611800178924465,18.454273408637693
public_wifi,79,강원특별자치도,인제군,31535.0,84,26.637069922308545,26.637069922308545,17.776749292769573
public_wifi,51,강원특별자치도,정선군,33515.0,119,35.50648963150828,35.50648963150828,23.94178388152009
public_wifi,57,강원특별자치도,철원군,40497.0,136,33.58273452354496,33.58273452354496,22.60460318991547
public_wifi,63,강원특별자치도,춘천시,286069.0,901,31.49589784282813,31.49589784282813,21.154066318337726
public_wifi,68,강원특별자치도,태백시,37936.0,114,30.050611556305356,30.050611556305356,20.149463961115003
public_wifi,45,강원특별자치도,평창군,40396.0,153,37.875037132389345,37.875037132389345,25.588134798129026
public_wifi,107,강원특별자치도,홍천군,66717.0,135,20.234722784297855,20.234722784297855,13.32654929669958
public_wifi,47,강원특별자치도,화천군,22922.0,83,36.209754820696276,36.209754820696276,24.430615660662422
public_wifi,71,강원특별자치도,횡성군,46111.0,133,28.843442996248186,28.843442996248186,19.310374576328627
public_wifi,165,경기도,가평군,62527.0,50,7.996545492347306,7.996545492347306,4.819928933489389
public_wifi,187,경기도,고양시,1070120.0,598,5.5881583373827235,5.5881583373827235,3.1458859182447334
public_wifi,163,경기도,과천시,85512.0,72,8.419870895312938,8.419870895312938,5.114177693515128
public_wifi,150,경기도,광명시,278167.0,280,10.065895666991413,10.065895666991413,6.2583111299802265
public_wifi,124,경기도,광주시,397605.0,619,15.568214685429005,15.568214685429005,10.082911631388706
public_wifi,32,경기도,구리시,186882.0,900,48.158731177962565,48.158731177962565,32.73621568388598
public_wifi,142,경기도,군포시,255931.0,312,12.190785797734545,12.190785797734545,7.735298529701328
public_wifi,191,경기도,김포시,486853.0,261,5.3609611114648565,5.3609611114648565,2.987963663782136
public_wifi,213,경기도,부천시,769918.0,214,2.779516779709008,2.779516779709008,1.1936305376023721
public_wifi,131,경기도,성남시,913009.0,1308,14.326255272401477,14.326255272401477,9.219639513236812
public_wifi,115,경기도,수원시,1193005.0,2196,18.40729921500748,18.40729921500748,12.056327581823759
public_wifi,166,경기도,시흥시,518132.0,408,7.874441262072213,7.874441262072213,4.7350556466499025
public_wifi,138,경기도,안산시,620579.0,812,13.08455490759436,13.08455490759436,8.35654745660995
public_wifi,10,경기도,안성시,193949.0,1507,77.70083888032421,77.70083888032421,53.270604830082505
public_wifi,140,경기도,안양시,556492.0,703,12.632706310243453,12.632706310243453,8.042472542705793
public_wifi,207,경기도,양주시,289005.0,100,3.4601477483088527,3.4601477483088527,1.6667295227863095
public_wifi,50,경기도,양평군,126804.0,451,35.56670136588751,35.56670136588751,23.983636385659857
public_wifi,36,경기도,여주시,114610.0,494,43.102696099816775,43.102696099816775,29.221822165404358
public_wifi,116,경기도,연천군,40866.0,75,18.352664806929965,18.352664806929965,12.018351814910346
public_wifi,189,경기도,오산시,242065.0,132,5.453080784086919,5.453080784086919,3.051995019455869
public_wifi,196,경기도,용인시,1085864.0,560,5.1571835883683415,5.1571835883683415,2.846320183206193
public_wifi,56,경기도,의왕시,154488.0,520,33.659572264512455,33.659572264512455,22.658012245560307
public_wifi,223,경기도,의정부시,461271.0,49,1.062282259235894,1.062282259235894,0.0
public_wifi,136,경기도,이천시,222443.0,302,13.57651173559069,13.57651173559069,8.698501153718622
public_wifi,139,경기도,파주시,511340.0,666,13.024602026049203,13.024602026049203,8.314874878184355
public_wifi,160,경기도,평택시,598556.0,516,8.620747265084637,8.620747265084637,5.253804614814233
public_wifi,41,경기도,포천시,141463.0,555,39.232873613595075,39.232873613595075,26.531951772290004
public_wifi,15,경기도,하남시,329120.0,2420,73.52941176470588,73.52941176470588,50.37109242730783
public_wifi,186,경기도,화성시,968821.0,545,5.625394164659932,5.625394164659932,3.1717681259461705
public_wifi,85,경상남도,거제시,232972.0,598,25.668320656559587,25.668320656559587,17.103382496859105
public_wifi,159,경상남도,거창군,59588.0,52,8.726589246156944,8.726589246156944,5.3273741938449595
public_wifi,100,경상남도,고성군,48005.0,102,21.247786688886574,21.247786688886574,14.030718703174497
public_wifi,143,경상남도,김해시,531676.0,629,11.830513320142343,11.830513320142343,7.484877153945827
